ShipName*planet*coord_place*direction*password
LOСА-302*Голевард*70 -52*9 -6*АРДСOГОЛ
BНВB-560*Угариния*54 -73*-10 -9*НИЯВНУГА
ЬSТА-367*Жезл Саурона*-35 -13*-7 1*ОНАТSЖЕЗ
OADС-556*Шамлария*0 0*-10 4*РИЯDAШАМ
OFYB-294*Золотая Даль*-42 -3*-3 8*АЛЬYFЗОЛ
ХPВH-805*Жезл Саурона*-89 62*6 -3*ОНАВPЖЕЗ
VСЭT-405*Нейландия*74 -5*8 4*ДИЯЭСНЕЙ
НLЙO-968*Наразиния*-5 1*-2 4*НИЯЙLНАР
БUВУ-873*Тальсария*-17 99*-1 1*РИЯВUТАЛ
СНRO-490*Мирондия*-88 60*-8 5*ДИЯRНМИР
TТДI-935*Беренс*80 -83*4 -3*ЕНСДТБЕР
НЦUК-690*Фангорн*94 80*-10 5*ОРНUЦФАН
КNPE-304*Халасия*-80 -79*1 -8*СИЯPNХАЛ
ЖКDК-209*Ширифповерье*83 84*8 -5*РЬЕDКШИР
ЭKFБ-921*Наразиния*0 0*1 -6*НИЯFKНАР
CZЭГ-887*Моргариан*-30 53*6 8*ИАНЭZМОР
ЪTЬП-320*Валинор*-70 -44*-2 -7*НОРЬTВАЛ
TRYС-982*Арда*-59 77*9 9*РДАYRАРД
WПШЗ-61*Шадирия*-81 -8*-1 3*РИЯШПШАД
МЭRU-259*Юэгусия*0 0*5 -6*СИЯRЭЮЭГ
BМVО-810*Золотонос*-8 -96*1 1*НОСVМЗОЛ
ЦLМК-937*Абеллио*-19 -26*-5 -2*ЛИОМLАБЕ
MAFС-471*Лузия*77 -47*1 8*ЗИЯFAЛУЗ
BAMS-209*Харад*-75 -81*-6 6*РАДMAХАР
FAОQ-722*Голевард*10 -77*-9 -5*АРДОAГОЛ
PШКЬ-178*Хилварика*-41 31*-4 -6*ИКАКШХИЛ
ГEYЪ-555*Гординия*99 -43*3 -6*НИЯYEГОР
ЫVДQ-284*Острудария*-27 79*2 7*РИЯДVОСТ
GRДA-175*Ясмария*-62 38*-6 -3*РИЯДRЯСМ
ЮЙНЭ-279*Нимасия*32 34*-8 8*СИЯНЙНИМ
ООТГ-929*Цитрамор*0 17*3 -3*МОРТОЦИТ
BЭSD-149*Чавланшан*-76 -60*0 4*ШАНSЭЧАВ
ЦLРJ-393*Оладария*18 -83*6 8*РИЯРLОЛА
VBЬS-701*Яентарин*-59 -26*-4 4*РИНЬBЯЕН
YСGV-462*Утопия*0 -20*9 -8*ПИЯGСУТО
CФOЕ-853*Абеллио*-79 -87*-8 9*ЛИОOФАБЕ
ЗПФБ-132*Идаллия*-87 -10*-9 -5*ЛИЯФПИДА
РCUЛ-201*Ширифповерье*2 -52*-6 -4*РЬЕUCШИР
ZGГЛ-684*Ривенделл*-24 -63*-9 -7*ЕЛЛГGРИВ
AСBN-655*Шамлария*13 -86*-10 -8*РИЯBСШАМ
ZTЕC-122*Царкония*75 -29*3 9*НИЯЕTЦАР
РEШZ-584*Голевард*-39 -74*-1 0*АРДШEГОЛ
ХЫВH-565*Сирмария*14 43*1 -7*РИЯВЫСИР
YJСУ-431*Саурон*31 -100*-6 -3*РОНСJСАУ
BЛШБ-897*Праметия*-52 -19*0 -1*ТИЯШЛПРА
ФMЭE-210*Фарнслетия*-7 75*-7 6*ТИЯЭMФАР
CVЬЗ-730*Дуин*-55 20*9 -1*УИНЬVДУИ
ЛITD-778*Цитрамор*46 97*-6 -9*МОРTIЦИТ
ДВTТ-686*Праметия*29 11*1 -5*ТИЯTВПРА
ИФZШ-969*Едор*-97 -64*-6 -7*ДОРZФЕДО
KЬKШ-824*Цитрамор*-49 -87*-9 0*МОРKЬЦИТ
ЯЮOУ-188*Ривенделл*0 -61*-6 3*ЕЛЛOЮРИВ
ЧOАИ-270*Южный кошмар*59 41*0 -6*МАРАOЮЖН
AZBV-274*Фиринция*-51 54*-8 -7*ЦИЯBZФИР
LIJЙ-879*Целиндия*-99 -68*-4 -7*ДИЯJIЦЕЛ
TGЫH-549*Жимрамир*-57 -34*5 8*МИРЫGЖИМ
ГKLS-231*Диасурия*30 82*0 -1*РИЯLKДИА
ЬSBЮ-217*Уриллион*79 14*-4 -10*ИОНBSУРИ
ЬЯJТ-431*Юхусия*-22 24*0 -8*СИЯJЯЮХУ
ЕХXT-899*Арда*30 14*8 -3*РДАXХАРД
БАЩX-551*Гондор*-39 90*1 6*ДОРЩАГОН
BЖЛЩ-86*Харад*55 83*-3 -4*РАДЛЖХАР
JQМЩ-656*Юэгусия*-54 25*9 -9*СИЯМQЮЭГ
ОИVА-767*Яскария*51 75*-8 -3*РИЯVИЯСК
MEЧУ-99*Зуария*88 -26*-4 -7*РИЯЧEЗУА
ФWДK-369*Лоркиндария*64 -3*-4 0*РИЯДWЛОР
МCЩT-272*Услилка*25 61*-3 -2*ЛКАЩCУСЛ
ГВЫН-568*Тол-Арда*90 95*5 -3*РДАЫВТОЛ
ГЖPЪ-715*Ярость Горы*60 40*8 -2*ОРЫPЖЯРО
ULMЦ-578*Лоркиндария*-56 -51*-4 -3*РИЯMLЛОР
ФЦЗF-568*Фангорн*77 -17*2 -7*ОРНЗЦФАН
ЭAАЭ-816*Мира*-20 37*-6 -1*ИРААAМИР
HNОЮ-871*Утопия*-30 86*0 -9*ПИЯОNУТО
ЭRЗЗ-646*Аглатосия*-5 -8*0 -5*СИЯЗRАГЛ
ЗЮГТ-740*Праметия*75 96*7 3*ТИЯГЮПРА
СЩВA-750*Ясмария*60 11*0 -4*РИЯВЩЯСМ
KPЫД-433*Сирмария*-30 -81*-10 -7*РИЯЫPСИР
ЪMPД-305*Парадель*4 -91*-8 -10*ЕЛЬPMПАР
АФKO-611*Царкония*-40 -83*-3 -4*НИЯKФЦАР
UСXД-311*Харантария*-57 -41*-9 5*РИЯXСХАР
DXБЗ-272*Мира*-92 79*4 2*ИРАБXМИР
IZNL-84*Моргариан*-79 93*-2 7*ИАНNZМОР
ЗGQG-473*Ридайя*36 -81*1 -4*АЙЯQGРИД
VOЪЙ-952*Егана*-83 78*-6 1*АНАЪOЕГА
HUРS-181*Есендария*-88 79*2 3*РИЯРUЕСЕ
ВTWВ-386*Жимрамир*-91 39*9 6*МИРWTЖИМ
XГYE-349*Варитор*-20 -1*6 7*ТОРYГВАР
МCSП-434*Гординия*6 -67*-3 6*НИЯSCГОР
FЬYЗ-289*Руэндария*-73 -93*8 -6*РИЯYЬРУЭ
ЯЮHC-766*Зуария*-49 20*4 -5*РИЯHЮЗУА
ЛFBX-178*Моргариан*41 -2*-8 -2*ИАНBFМОР
ТLЕV-336*Сиалония*91 2*-4 5*НИЯЕLСИА
ЩQЧУ-140*Тибулония*0 0*4 -4*НИЯЧQТИБ
ЫRWГ-326*Королевство Эребора*-23 43*1 -8*ОРАWRКОР
ЫFНP-80*Ендария*60 -46*-7 -9*РИЯНFЕНД
ТWТJ-576*Парадель*-13 -15*8 1*ЕЛЬТWПАР
УMAE-221*Парадель*82 -63*5 6*ЕЛЬAMПАР
NKФO-769*Мирфоний*50 -92*-4 -5*НИЙФKМИР
ЙХJК-208*Идаллия*30 -89*-10 -9*ЛИЯJХИДА
ЦАKV-491*Гондор*0 0*5 1*ДОРKАГОН
